id	uri
3481812	<http://wikidata.dbpedia.org/ontology/GolfPlayer>
3481933	<http://wikidata.dbpedia.org/ontology/GolfTournament>
3481653	<http://wikidata.dbpedia.org/ontology/GovernmentAgency>
3481732	<http://wikidata.dbpedia.org/ontology/Governor>
3482011	<http://wikidata.dbpedia.org/ontology/GrandPrix>
3482090	<http://wikidata.dbpedia.org/ontology/Grape>
3481953	<http://wikidata.dbpedia.org/ontology/GreenAlga>
3481466	<http://wikidata.dbpedia.org/ontology/GridironFootballPlayer>
3481566	<http://wikidata.dbpedia.org/ontology/Group>
3482077	<http://wikidata.dbpedia.org/ontology/Guitarist>
3481740	<http://wikidata.dbpedia.org/ontology/Gymnast>
3482013	<http://wikidata.dbpedia.org/ontology/HandballLeague>
3481613	<http://wikidata.dbpedia.org/ontology/HandballPlayer>
3482096	<http://wikidata.dbpedia.org/ontology/HandballTeam>
3482065	<http://wikidata.dbpedia.org/ontology/Historian>
3481834	<http://wikidata.dbpedia.org/ontology/HistoricBuilding>
3481639	<http://wikidata.dbpedia.org/ontology/HistoricPlace>
3482004	<http://wikidata.dbpedia.org/ontology/HockeyTeam>
3481755	<http://wikidata.dbpedia.org/ontology/Holiday>
3481999	<http://wikidata.dbpedia.org/ontology/HollywoodCartoon>
3481655	<http://wikidata.dbpedia.org/ontology/Horse>
3481985	<http://wikidata.dbpedia.org/ontology/HorseRace>
3481983	<http://wikidata.dbpedia.org/ontology/HorseRider>
3482043	<http://wikidata.dbpedia.org/ontology/HorseTrainer>
3481858	<http://wikidata.dbpedia.org/ontology/Hospital>
3481763	<http://wikidata.dbpedia.org/ontology/Hotel>
3482169	<http://wikidata.dbpedia.org/ontology/HumanGene>
3482087	<http://wikidata.dbpedia.org/ontology/IceHockeyLeague>
3481701	<http://wikidata.dbpedia.org/ontology/IceHockeyPlayer>
3481659	<http://wikidata.dbpedia.org/ontology/InformationAppliance>
3481586	<http://wikidata.dbpedia.org/ontology/Infrastructure>
3482118	<http://wikidata.dbpedia.org/ontology/InlineHockeyLeague>
3481536	<http://wikidata.dbpedia.org/ontology/Insect>
3482076	<http://wikidata.dbpedia.org/ontology/Instrumentalist>
3481480	<http://wikidata.dbpedia.org/ontology/Island>
3481977	<http://wikidata.dbpedia.org/ontology/Jockey>
3481820	<http://wikidata.dbpedia.org/ontology/Journalist>
3481795	<http://wikidata.dbpedia.org/ontology/Judge>
3482146	<http://wikidata.dbpedia.org/ontology/LacrosseLeague>
3481921	<http://wikidata.dbpedia.org/ontology/LacrossePlayer>
3481744	<http://wikidata.dbpedia.org/ontology/Lake>
3481771	<http://wikidata.dbpedia.org/ontology/Language>
3482017	<http://wikidata.dbpedia.org/ontology/LaunchPad>
3482041	<http://wikidata.dbpedia.org/ontology/LawFirm>
3481829	<http://wikidata.dbpedia.org/ontology/LegalCase>
3481676	<http://wikidata.dbpedia.org/ontology/Legislature>
3481960	<http://wikidata.dbpedia.org/ontology/Library>
3481957	<http://wikidata.dbpedia.org/ontology/Ligament>
3481784	<http://wikidata.dbpedia.org/ontology/Lighthouse>
3481938	<http://wikidata.dbpedia.org/ontology/Locomotive>
3482155	<http://wikidata.dbpedia.org/ontology/Lymph>
3481628	<http://wikidata.dbpedia.org/ontology/Magazine>
3481656	<http://wikidata.dbpedia.org/ontology/Mammal>
3481510	<http://wikidata.dbpedia.org/ontology/Manga>
3481756	<http://wikidata.dbpedia.org/ontology/MartialArtist>
3481614	<http://wikidata.dbpedia.org/ontology/Mayor>
3481520	<http://wikidata.dbpedia.org/ontology/MeanOfTransportation>
3482027	<http://wikidata.dbpedia.org/ontology/Medician>
3481905	<http://wikidata.dbpedia.org/ontology/MemberOfParliament>
3481728	<http://wikidata.dbpedia.org/ontology/MilitaryConflict>
